Luwu Timur,12814,12886
Toraja Utara,8097,8134
Kota Makasar,16873,17097
Kota Parepare,13663,13786
Kota Palopo,12995,13117
SULAWESI TENGGARA,9331,9381
Buton,7307,7324
Muna,8203,8218
Konawe,10126,10151
Kolaka,12515,12525
Konawe Selatan,9037,9059
Bombana,8234,8310
Wakatobi,9204,9280
Kolaka Utara,10218,10244
Buton Utara,7470,7496
Konawe Utara,9165,9181
Kolaka Timur,7727,7753
Konawe Kepulauan,6700,6738
Muna Barat,7485,7502
Buton Tengah,7221,7244
Buton Selatan,7263,7279
Kota Kendari,14335,14356
Kota Baubau,10483,10503
GORONTALO,10020,10157
Boalemo,8789,8940
Gorontalo,9277,9412
Pohuwato,10255,10409
Bone Bolango,10052,10198
Gorontalo Utara,8921,9064
Kota Gorontalo,12278,12390
SULAWESI BARAT,9168,9153
Majene,10056,10028
Polewali Mandar,8580,8548
Mamasa,7747,7736
Mamuju,9500,9494
Mamuju Utara / Pasangkayu,11111,11072
Mamuju Tengah,8414,8408
MALUKU,8732,8770
Maluku Tenggara Barat / Kepulauan Tanimbar,6297,6335
Maluku Tenggara,7545,7580
Maluku Tengah,10210,10243
Buru,10316,10347
Kepulauan Aru,7586,7623
Seram Bagian Barat,8690,8720
Seram Bagian Timur,9453,9480
Maluku Barat Daya,6890,6918
Buru Selatan,7566,7600
Kota Ambon,14116,14148
Kota Tual,7351,7405
MALUKU UTARA,8032,8140
Halmahera Barat,7352,7467
Halmahera Tengah,7841,7966
Kepulauan Sula,6950,7040
Halmahera Selatan,7068,7142
Halmahera Utara,7414,7519
Halmahera Timur,7876,7973
Pulau Morotai,6290,6378
Pulau Taliabu,6390,6467
Kota Ternate,13091,13290
Kota Tidore Kepulauan,8188,8316
PAPUA BARAT,8086,7929
Fakfak,7599,7446
Kaimana,8325,8151
Teluk Wondama,8219,8034
Teluk Bintuni,9974,9708
Manokwari,12207,11977
Sorong Selatan,6286,6188
Sorong,7495,7350
Raja Ampat,8014,7882
Tambrauw,4998,4903
Maybrat,5336,5245
Manokwari Selatan,5505,5505
Pegunungan Arfak,5099,5009
Kota Sorong,13954,13744
PAPUA,6954,6955
Merauke,10097,10201
Jayawijaya,7441,7545
Jayapura,9898,9989
Nabire,8840,8856
Kepulauan Yapen,7484,7491
Biak Numfor,9705,9607
Paniai,6361,6377
Puncak Jaya,5282,5289
Mimika,11431,11400
Boven Digoel,7947,7864
Mappi,6353,6327
Asmat,5733,5736
Yahukimo,4875,4895
Pegunungan Bintang,5409,5429
Tolikara,4826,4841
Sarmi,6600,6617
Keerom,8910,8926
Waropen,6732,6788
Supiori,5677,5708
Mamberamo Raya,4581,4603
Nduga,3975,3976
Lanny Jaya,4350,4393
Mamberamo Tengah,4462,4487
Yalimo,4647,4664
Puncak,5378,5412
Dogiyai,5373,5415
Intan Jaya,5283,5328
Deiyai,4632,4673
Kota Jayapura,14763,14937
INDONESIA,11013,11156
,,
"














Untuk penjelasan lebih lanjut mengenai IPM metode baru silahkan klik link di bawah ini
-Booklet IPM metode Baru
-Bahan Sosialisasi IPM metode baru















",,
Source Url: https://www.bps.go.id/indicator/26/416/2/-metode-baru-pengeluaran-per-kapita-disesuaikan.html,,
"Access Time: November 20, 2023, 8:58 am",,
